Feature,Score
student__share_dependent_highincome_75001_110000,0.00540442362347626
cost__net_price_public_by_income_level_75000_plus,0.00518699548497192
completion__completion_rate_l4yr_150_black,0.00504192508666623
school__ft_faculty_rate,0.00503532268245177
completion__completion_rate_4yr_150_hispanic,0.00484317780626675
student__share_independent_highincome_75001_110000,0.00474227000425387
cost__net_price_public_by_income_level_110001_plus,0.00473348005408525
completion__transfer_rate_less_than_4yr_full_time,0.00446801006968744
custom__carnegie_undergrad_high_transfer,0.00386107455397422
school__degrees_awarded_highest_Non-degree-granting,0.00370020139745098
custom__carnegie_undergrad_full_time,0.0036632367882321
completion__completion_cohort_less_than_4yr_150nt_pooled,0.00360390651312503
completion__completion_rate_l4yr_150_white,0.00320037409440932
custom__log_cost__title_iv_private_by_income_level_75001_110000,0.0030768233017815
student__part_time_share,0.0030701493330767
student__share_first_time_full_time,0.00291098438989401
student__share_dependent_highincome_110001plus,0.0025718429210615
student__demographics_men,0.00240284914467637
student__demographics_race_ethnicity_two_or_more,0.00230321913110831
cost__avg_net_price_public,0.00214408452116466
cost__net_price_public_by_income_level_30001_75000,0.00212260857938684
cost__title_iv_public_by_income_level_0_30000,0.00198871018956304
completion__completion_rate_4yr_150_white,0.00190754204754562
student__size,0.00167249015149373
custom__carnegie_basic_assoc,0.00163811799069258
student__demographics_first_generation,0.00157458053817283
custom__carnegie_basic_bacc,0.00145732722834602
completion__completion_rate_l4yr_150_asian,0.00144867655358372
completion__completion_rate_4yr_100nt,0.00140961518695537
student__retention_rate_four_year_part_time,0.00132052936293547
aid__cumulative_debt_10th_percentile,0.00111903787902534
custom__carnegie_undergrad_inclusive,0.000951397601803627
student__share_independent_highincome_110001plus,0.00093808482288793
completion__completion_rate_l4yr_150_nonresident_alien,0.000744029096950705
completion__completion_rate_4yr_150_nonresident_alien,0.000692564991039646
cost__net_price_public_by_income_level_30001_48000,0.000618084311016176
custom__school_region_high,0.000576055904092598
cost__title_iv_private_all,0.000570365923374894
custom__school_locale_suburb,0.000503641735898341
completion__completion_cohort_4yr_150nt,0.000408601238516049
completion__completion_rate_l4yr_150_nhpi,0.000386838739828477
school__institutional_characteristics_level_4-year,0.000322281364199206
custom__religious_low,0.000305501598854896
custom__carnegie_size_highly_residential,0.000302994984971328
custom__carnegie_basic_special,0.0002778780285011
completion__completion_rate_4yr_150_nhpi,0.000270901342614316
completion__completion_rate_4yr_150_asian,0.000269943075092982
custom__carnegie_undergrad_two_year,0.00025131612508833
school__degrees_awarded_highest_Graduate degree,0.000219216421449175
school__degrees_awarded_highest_Associate degree,0.000203104135936272
custom__academics_program_bachelors_business,0.000165017284837532
custom__carnegie_size_medium,0.000114036642901105
custom__carnegie_basic_high,8.36846514591372E-05
custom__carnegie_undergrad_low_transfer,8.18167782563606E-05
school__minority_serving_historically_black,6.09977503298609E-05
custom__academics_num_bach,4.87288319170887E-05
custom__carnegie_size_large,8.32664119698734E-06
school__ownership_Public,2.30436114634358E-10
student__demographics_avg_family_income_independents,0
aid__median_debt_completers_monthly_payments,0
student__family_income_overall,0
student__valid_dependency_status,0
aid__median_debt_number_overall,0
school__men_only,0
school__minority_serving_tribal,0
custom__school_campus,0
school__women_only,-2.15968221084495E-09
custom__sum_missing,-4.02180535985508E-07
custom__carnegie_undergrad_part_time,-3.00252924123612E-06
school__minority_serving_annh,-3.04841347888996E-05
custom__school_locale_town,-3.62068140731253E-05
custom__school_locale_rural,-8.5641693545746E-05
completion__completion_cohort_less_than_4yr_100nt,-9.17213227111802E-05
student__share_firstgeneration_parents_middleschool,-0.000100291988731627
custom__carnegie_undergrad_selective,-0.000143205048511952
custom__carnegie_size_small,-0.000143995912783801
custom__carnegie_basic_masters,-0.000161106155650792
cost__net_price_public_by_income_level_48001_75000,-0.000225671953621109
school__degrees_awarded_highest_Bachelor's degree,-0.000301765067647786
custom__religious_high,-0.000413114655419378
custom__school_state_low,-0.000413710357201502
student__retention_rate_lt_four_year_part_time,-0.000425786698757591
completion__completion_rate_4yr_150_aian,-0.000449376064750595
school__minority_serving_aanipi,-0.000482731179507923
custom__log_completion__completion_cohort_4yr_100nt,-0.000484929491652686
custom__school_locale_city,-0.00054411900400364
school__minority_serving_hispanic,-0.000656397027707811
cost__title_iv_private_by_income_level_48001_75000,-0.000685690401229344
custom__school_carnegie_size_setting_high,-0.000691737516201663
aid__median_debt_income_greater_than_75000,-0.000825165342182466
cost__title_iv_public_all,-0.000932836650801683
custom__carnegie_undergrad_high,-0.000985422261098989
cost__net_price_public_by_income_level_0_30000,-0.00100629008045416
custom__act_0,-0.00140584074982097
completion__completion_rate_4yr_150_race_unknown,-0.00144475060815186
cost__title_iv_private_by_income_level_0_30000,-0.00151141555959988
completion__completion_rate_l4yr_150_hispanic,-0.00171319657363522
cost__title_iv_public_by_income_level_75001_110000,-0.00180836089303593
completion__completion_rate_4yr_150_2ormore,-0.00190693963496091
completion__completion_rate_4yr_150_black,-0.00201057992065934
custom__carnegie_size_primarily_residential,-0.00209256584919615
school__ownership_Private nonprofit,-0.00221850817194369
admissions__admission_rate_overall,-0.0025501625080695
cost__net_price_public_by_income_level_0_48000,-0.00262844009513774
custom__log_cost__title_iv_public_by_income_level_110001_plus,-0.0028354272477138
school__main_campus,-0.00288115648772092
completion__completion_rate_l4yr_150_race_unknown,-0.00293595859609042
completion__completion_rate_l4yr_150_2ormore,-0.00297033809802194
student__retention_rate_lt_four_year_full_time,-0.00302686111121453
school__institutional_characteristics_level_Less-than-2-year,-0.00355730558718292
school__institutional_characteristics_level_2-year,-0.00367640717909179
completion__completion_rate_l4yr_150_aian,-0.00428968145062125
school__degrees_awarded_highest_Certificate degree,-0.00452866742363245
cost__title_iv_public_by_income_level_48001_75000,-0.00537786336746127
custom__school_locale,-0.00611863388329947
custom__school_online,-0.00746850056761339
cost__title_iv_private_by_income_level_110001_plus,-0.0103961498964997
aid__median_debt_non_first_generation_students,-0.0132850631861929
